Item,Qty,Need to buy,Total Price £,URL,TOTAL (£),TOTAL ($)
600mm Aluminium extrusion,1,N,0,N/A,20.59,27.6
Driver Pulley,1,N,0,N/A,,
Idler Pulley,1,N,0,N/A,,
Flexible plastic tube,1,Y,1.62,ID8 x OD10mm Flexible pipe,,
DC motor,1,Y,2.01,12V DC 60rpm motor,,
DC water Pump,1,Y,3.33,12V DC water pump,,
Limit Switches,3,Y,1,5pcs Limit Switches,,
Moisture sensor,1,Y,0.59,Moisture Sensor,,
470uf Capacitor,2,Y,1.15,10pcs 470uf Capacitor,,
0.1uf Capacitor,1,Y,0.89,100pcs 0.1uf capacitor,,
LCD Display,1,N,0,N/A,,
12V 3A power supply,1,N,0,N/A,,
Servo,1,N,0,N/A,,
L293D,1,N,0,N/A,,
Arduino uno,1,N,0,N/A,,
LDR,1,N,0,N/A,,
10K Resistor,1,N,0,N/A,,
220 Resistor,1,N,0,N/A,,
250K Potentiometer,1,N,0,N/A,,
PCB,1,Y,5,N/A,,
3D printed parts(delivery),N/A,Y,5,N/A,,
